	(1)	(2)	(3)	(4)	(5)
VARIABLES	schappy_z	schappy_z	schappy_z	schappy_z	schappy_z
					
m_carpooling_spouse			0.778**		0.784**
			(0.329)		(0.328)
m_carpooling_parents			0.835**		0.830**
			(0.333)		(0.332)
m_carpooling_child			0.055		0.054
			(0.297)		(0.296)
m_carpooling_otherhh			0.457		0.462
			(0.415)		(0.413)
m_carpooling_nonhh			0.674**		0.674**
			(0.298)		(0.298)
m_public	-0.342	-0.450	-0.454	-0.444	-0.448
	(0.312)	(0.322)	(0.322)	(0.322)	(0.322)
m_physical	0.123	0.427*	0.416*	0.435*	0.424*
	(0.234)	(0.251)	(0.251)	(0.252)	(0.252)
ln_eptime	0.682	0.889*	0.887*	0.882*	0.882*
	(0.589)	(0.483)	(0.485)	(0.483)	(0.485)
ln_eptime_sq	-0.137	-0.168**	-0.169**	-0.167**	-0.169**
	(0.094)	(0.077)	(0.077)	(0.077)	(0.078)
age	-0.040	0.014	0.020	0.012	0.017
	(0.074)	(0.075)	(0.075)	(0.075)	(0.076)
age_sq	0.001	0.000	-0.000	0.000	-0.000
	(0.001)	(0.001)	(0.001)	(0.001)	(0.001)
male	-0.118	-0.159	-0.163	-0.162	-0.166
	(0.125)	(0.125)	(0.125)	(0.125)	(0.125)
native	-0.561***	-0.377**	-0.370**	-0.375**	-0.367**
	(0.159)	(0.161)	(0.161)	(0.161)	(0.162)
secondary	0.081	-0.107	-0.135	-0.120	-0.147
	(0.369)	(0.306)	(0.310)	(0.310)	(0.314)
universitary	-0.026	-0.022	-0.053	-0.035	-0.065
	(0.363)	(0.305)	(0.309)	(0.312)	(0.316)
incouple	0.135	0.020	0.027	0.022	0.029
	(0.136)	(0.141)	(0.144)	(0.141)	(0.144)
hhldsize	-0.017	0.015	0.017	0.014	0.015
	(0.073)	(0.066)	(0.066)	(0.066)	(0.066)
nchild	0.006	-0.081	-0.083	-0.078	-0.081
	(0.098)	(0.091)	(0.091)	(0.091)	(0.091)
full_time	-0.092	-0.319	-0.306	-0.328	-0.316
	(0.215)	(0.216)	(0.217)	(0.216)	(0.217)
2.occupation	-0.110	-0.073	-0.065	-0.070	-0.063
	(0.156)	(0.163)	(0.163)	(0.163)	(0.164)
3.occupation	-0.033	-0.003	0.004	-0.000	0.007
	(0.238)	(0.234)	(0.234)	(0.234)	(0.234)
4.occupation	0.327*	0.207	0.208	0.208	0.208
	(0.197)	(0.194)	(0.192)	(0.195)	(0.193)
5.occupation	0.505**	0.475**	0.474**	0.472**	0.472**
	(0.213)	(0.232)	(0.233)	(0.231)	(0.232)
6.occupation	0.607	0.416	0.410	0.428	0.424
	(0.486)	(0.507)	(0.511)	(0.518)	(0.523)
7.occupation	-0.084	-0.200	-0.209	-0.225	-0.234
	(0.275)	(0.300)	(0.302)	(0.308)	(0.310)
8.occupation	0.123	0.211	0.209	0.211	0.209
	(0.229)	(0.261)	(0.261)	(0.261)	(0.262)
9.occupation	0.071	0.468*	0.461*	0.471*	0.465*
	(0.313)	(0.251)	(0.252)	(0.254)	(0.255)
10.occupation	0.212	0.361	0.349	0.367	0.357
	(0.327)	(0.316)	(0.318)	(0.319)	(0.320)
weekday	0.050	-0.058	-0.058	-0.061	-0.061
	(0.202)	(0.183)	(0.185)	(0.186)	(0.187)
avenjoy_nontravelling_hap		0.901***	0.900***	2.069	2.094
		(0.060)	(0.060)	(1.616)	(1.613)
state_1	0.112	-0.250	-0.230	-0.246	-0.227
	(0.606)	(0.471)	(0.476)	(0.475)	(0.480)
state_2	0.234	-0.426	-0.417	-0.428	-0.417
	(0.799)	(0.509)	(0.517)	(0.526)	(0.534)
state_3	-0.229	-0.505	-0.490	-0.470	-0.455
	(0.682)	(0.562)	(0.563)	(0.566)	(0.569)
state_4	1.388	1.110	1.087	1.124	1.099
	(0.946)	(1.170)	(1.190)	(1.176)	(1.196)
state_5	-0.116	-0.857*	-0.852*	-0.846*	-0.841*
