	(1)	(2)	(3)
VARIABLES	schappy_z	schappy_z	schappy_z
			
m_carpooling_spouse	0.991***	0.991***	0.991***
	(0.316)	(0.316)	(0.316)
m_carpooling_parents	0.638*	0.638*	0.638*
	(0.355)	(0.355)	(0.355)
m_carpooling_child	0.013	0.013	0.013
	(0.336)	(0.336)	(0.336)
m_carpooling_otherhh	0.640	0.640	0.640
	(0.534)	(0.534)	(0.534)
m_carpooling_nonhh	0.784***	0.784***	0.784***
	(0.288)	(0.288)	(0.288)
m_public	-0.344	-0.344	-0.344
	(0.311)	(0.311)	(0.311)
m_physical	0.113	0.113	0.113
	(0.234)	(0.234)	(0.234)
ln_eptime	0.704	0.704	0.704
	(0.591)	(0.591)	(0.591)
ln_eptime_sq	-0.142	-0.142	-0.142
	(0.095)	(0.095)	(0.095)
age	-0.039	-0.039	-0.039
	(0.074)	(0.074)	(0.074)
age_sq	0.001	0.001	0.001
	(0.001)	(0.001)	(0.001)
male	-0.119	-0.119	-0.119
	(0.125)	(0.125)	(0.125)
native	-0.559***	-0.559***	-0.559***
	(0.160)	(0.160)	(0.160)
secondary	0.055	0.055	0.055
	(0.373)	(0.373)	(0.373)
universitary	-0.047	-0.047	-0.047
	(0.367)	(0.367)	(0.367)
incouple	0.133	0.133	0.133
	(0.137)	(0.137)	(0.137)
hhldsize	-0.013	-0.013	-0.013
	(0.073)	(0.073)	(0.073)
nchild	0.004	0.004	0.004
	(0.097)	(0.097)	(0.097)
full_time	-0.088	-0.088	-0.088
	(0.216)	(0.216)	(0.216)
2.occupation	-0.109	-0.109	-0.109
	(0.156)	(0.156)	(0.156)
3.occupation	-0.028	-0.028	-0.028
	(0.239)	(0.239)	(0.239)
4.occupation	0.331*	0.331*	0.331*
	(0.196)	(0.196)	(0.196)
5.occupation	0.508**	0.508**	0.508**
	(0.214)	(0.214)	(0.214)
6.occupation	0.622	0.622	0.622
	(0.485)	(0.485)	(0.485)
7.occupation	-0.083	-0.083	-0.083
	(0.277)	(0.277)	(0.277)
8.occupation	0.115	0.115	0.115
	(0.230)	(0.230)	(0.230)
9.occupation	0.056	0.056	0.056
	(0.313)	(0.313)	(0.313)
10.occupation	0.224	0.224	0.224
	(0.335)	(0.335)	(0.335)
weekday	0.054	0.054	0.054
	(0.203)	(0.203)	(0.203)
state_1	0.144	0.144	0.144
	(0.615)	(0.615)	(0.615)
state_2	0.247	0.247	0.247
	(0.808)	(0.808)	(0.808)
state_3	-0.221	-0.221	-0.221
